DEVICES INFO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DeviceID,ConfigID,SystemID,DeviceType,Status,Remarks,,SystemID,ConfigID,FacilityID,SystemType,Status,Remarks,,FacilityID,ConfigID,FacilityName,FacilityType,Area,Status,Remarks
C2-00202,,B2-00202,RFID Reader,,Special/Res.,,B2-00202,,A2-00202,Special/Res.,,,,A2-00202,,Rm 202,Classroom,2nd Flr,,
C2-00203,,B2-00203,RFID Reader,,Special/Res.,,B2-00203,,A2-00203,Special/Res.,,,,A2-00203,,Rm 203,Classroom,2nd Flr,,
C2-00204,,B2-00204,RFID Reader,,Special/Res.,,B2-00204,,A2-00204,Special/Res.,,,,A2-00204,,Rm 204,Classroom,2nd Flr,,
C2-00205,,B2-00205,RFID Reader,,Special/Res.,,B2-00205,,A2-00205,Special/Res.,,,,A2-00205,,Rm 205,Classroom,2nd Flr,,
C2-00206,,B2-00206,RFID Reader,,Special/Res.,,B2-00206,,A2-00206,Special/Res.,,,,A2-00206,,Rm 206,Classroom,2nd Flr,,
C2-00207,,B2-00207,RFID Reader,,Special/Res.,,B2-00207,,A2-00207,Special/Res.,,,,A2-00207,,Rm 207,Classroom,2nd Flr,,
C2-00208,,B2-00208,RFID Reader,,Special/Res.,,B2-00208,,A2-00208,Special/Res.,,,,A2-00208,,Rm 208,Classroom,2nd Flr,,
C2-00209,,B2-00209,RFID Reader,,Special/Res.,,B2-00209,,A2-00209,Special/Res.,,,,A2-00209,,Rm 209,Classroom,2nd Flr,,
C2-00210,,B2-00210,RFID Reader,,Special/Res.,,B2-00210,,A2-00210,Special/Res.,,,,A2-00210,,Rm 210,Classroom,2nd Flr,,
C2-00211,,B2-00211,RFID Reader,,Special/Res.,,B2-00211,,A2-00211,Special/Res.,,,,A2-00211,,Rm 211,Classroom,2nd Flr,,
C2-00212,,B2-00212,RFID Reader,,Special/Res.,,B2-00212,,A2-00212,Special/Res.,,,,A2-00212,,Rm 212,Classroom,2nd Flr,,
C3-00301,,B3-00301,RFID Reader,,Special/Res.,,B3-00301,,A3-00301,Special/Res.,,,,A3-00301,,Eng'g. Lab 1,Laboratory,3rd Flr,,
C3-00302,,B3-00302,RFID Reader,,Special/Res.,,B3-00302,,A3-00302,Special/Res.,,,,A3-00302,,Eng'g. Lab 1,Laboratory,3rd Flr,,
C3-00303,,B3-00303,RFID Reader,,Special/Res.,,B3-00303,,A3-00303,Special/Res.,,,,A3-00303,,Rm 303,Classroom,3rd Flr,,
C3-00304,,B3-00304,RFID Reader,,Special/Res.,,B3-00304,,A3-00304,Special/Res.,,,,A3-00304,,Rm 304,Classroom,3rd Flr,,
C3-00305,,B3-00305,RFID Reader,,Special/Res.,,B3-00305,,A3-00305,Special/Res.,,,,A3-00305,,Rm 305,Classroom,3rd Flr,,
C3-00306,,B3-00306,RFID Reader,,Special/Res.,,B3-00306,,A3-00306,Special/Res.,,,,A3-00306,,Rm 306,Classroom,3rd Flr,,
C3-00307,,B3-00307,RFID Reader,,Special/Res.,,B3-00307,,A3-00307,Special/Res.,,,,A3-00307,,Rm 307,Classroom,3rd Flr,,
C3-00308,,B3-00308,RFID Reader,,Special/Res.,,B3-00308,,A3-00308,Special/Res.,,,,A3-00308,,Rm 308,Classroom,3rd Flr,,
C3-00309,,B3-00309,RFID Reader,,Special/Res.,,B3-00309,,A3-00309,Special/Res.,,,,A3-00309,,Rm 309,Classroom,3rd Flr,,
C3-00310,,B3-00310,RFID Reader,,Special/Res.,,B3-00310,,A3-00310,Special/Res.,,,,A3-00310,,Rm 310,Classroom,3rd Flr,,
C3-00311,,B3-00311,RFID Reader,,Special/Res.,,B3-00311,,A3-00311,Special/Res.,,,,A3-00311,,Library,Others,3rd Flr,,
C3-00312,,B3-00312,RFID Reader,,Special/Res.,,B3-00312,,A3-00312,Special/Res.,,,,A3-00312,,Library,Others,3rd Flr,,
C4-00401,,B4-00401,RFID Reader,,Special/Res.,,B4-00401,,A4-00401,Special/Res.,,,,A4-00401,,Comp. Lab 1,Laboratory,4th Flr,,
C4-00402,,B4-00402,RFID Reader,,Special/Res.,,B4-00402,,A4-00402,Special/Res.,,,,A4-00402,,Comp. Lab 2,Laboratory,4th Flr,,
C4-00403,,B4-00403,RFID Reader,,Special/Res.,,B4-00403,,A4-00403,Special/Res.,,,,A4-00403,,Events 1,Events,4th Flr,,
C4-00404,,B4-00404,RFID Reader,,Special/Res.,,B4-00404,,A4-00404,Special/Res.,,,,A4-00404,,Events 2,Events,4th Flr,,
C4-00405,,B4-00405,RFID Reader,,Special/Res.,,B4-00405,,A4-00405,Special/Res.,,,,A4-00405,,HM Lab 1,Laboratory,4th Flr,,
C4-00406,,B4-00406,RFID Reader,,Special/Res.,,B4-00406,,A4-00406,Special/Res.,,,,A4-00406,,HM Lab 2,Laboratory,4th Flr,,
C4-00407,,B4-00407,RFID Reader,,Special/Res.,,B4-00407,,A4-00407,Special/Res.,,,,A4-00407,,OA Lab 1,Laboratory,4th Flr,,
C4-00408,,B4-00408,RFID Reader,,Special/Res.,,B4-00408,,A4-00408,Special/Res.,,,,A4-00408,,OA Lab 2,Laboratory,4th Flr,,
C4-00409,,B4-00409,RFID Reader,,Special/Res.,,B4-00409,,A4-00409,Special/Res.,,,,A4-00409,,Office 10,Office,4th Flr,,
C4-00410,,B4-00410,RFID Reader,,Special/Res.,,B4-00410,,A4-00410,Special/Res.,,,,A4-00410,,Office 11,Office,4th Flr,,
C4-00411,,B4-00411,RFID Reader,,Special/Res.,,B4-00411,,A4-00411,Special/Res.,,,,A4-00411,,Office 12,Office,4th Flr,,
C4-00412,,B4-00412,RFID Reader,,Special/Res.,,B4-00412,,A4-00412,Special/Res.,,,,A4-00412,,Office 13,Office,4th Flr,,
C5-00501,,B5-00501,RFID Reader,,Special/Res.,,B5-00501,,A5-00501,Special/Res.,,,,A5-00501,,Rooftop 1,Events,5th Flr,,
C5-00502,,B5-00502,RFID Reader,,Special/Res.,,B5-00502,,A5-00502,Special/Res.,,,,A5-00502,,Roofop 2,Events,5th Flr,,
C5-00503,,B5-00503,RFID Reader,,Special/Res.,,B5-00503,,A5-00503,Special/Res.,,,,A5-00503,,G/F Lobby A,Lobby,Gnd Flr,,
C5-00504,,B5-00504,RFID Reader,,Special/Res.,,B5-00504,,A5-00504,Special/Res.,,,,A5-00504,,G/F Lobby B,Lobby,Gnd Flr,,
C5-00505,,B5-00505,RFID Reader,,Special/Res.,,B5-00505,,A5-00505,Special/Res.,,,,A5-00505,,2/F Lobby A,Lobby,2nd Flr,,
C5-00506,,B5-00506,RFID Reader,,Special/Res.,,B5-00506,,A5-00506,Special/Res.,,,,A5-00506,,2/F Lobby B,Lobby,2nd Flr,,
C5-00507,,B5-00507,RFID Reader,,Special/Res.,,B5-00507,,A5-00507,Special/Res.,,,,A5-00507,,3/F Lobby A,Lobby,3rd Flr,,
C5-00508,,B5-00508,RFID Reader,,Special/Res.,,B5-00508,,A5-00508,Special/Res.,,,,A5-00508,,3/F Lobby B,Lobby,3rd Flr,,
C5-00509,,B5-00509,RFID Reader,,Special/Res.,,B5-00509,,A5-00509,Special/Res.,,,,A5-00509,,4/F Lobby A,Lobby,4th Flr,,
C5-00510,,B5-00510,RFID Reader,,Special/Res.,,B5-00510,,A5-00510,Special/Res.,,,,A5-00510,,4/F Lobby B,Lobby,4th Flr,,
C5-00511,,B5-00511,RFID Reader,,Special/Res.,,B5-00511,,A5-00511,Special/Res.,,,,A5-00511,,Reserved,Others,Others,,
C5-00512,,B5-00512,RFID Reader,,Special/Res.,,B5-00512,,A5-00512,Special/Res.,,,,A5-00512,,Reserved,Others,Others,,
C1-10101,,B1-10101,RFID Reader,,Special/Res.,,B1-01101,,A1-0101,ACS,,,,,,,,,,
C1-10102,,B1-10102,RFID Reader,,Special/Res.,,B1-01102,,A1-0102,ACS,,,,,,,,,,
C1-10103,,B1-10103,RFID Reader,,Special/Res.,,B1-01103,,A1-0103,ACS,,,,,,,,,,
C1-10104,,B1-10104,RFID Reader,,Special/Res.,,B1-01104,,A1-0104,ACS,,,,,,,,,,
C1-10105,,B1-10105,RFID Reader,,Special/Res.,,B1-01105,,A1-0105,ACS,,,,,,,,,,
C1-10106,,B1-10106,RFID Reader,,Special/Res.,,B1-01106,,A1-0106,ACS,,,,,,,,,,
C1-10107,,B1-10107,RFID Reader,,Special/Res.,,B1-01107,,A1-0107,ACS,,,,,,,,,,
C1-10108,,B1-10108,RFID Reader,,Special/Res.,,B1-01108,,A1-0108,ACS,,,,,,,,,,
C1-10109,,B1-10109,RFID Reader,,Special/Res.,,B1-01109,,A1-0109,ACS,,,,,,,,,,
C1-10110,,B1-10110,RFID Reader,,Special/Res.,,B1-01110,,A1-0110,ACS,,,,,,,,,,
C1-10111,,B1-10111,RFID Reader,,Special/Res.,,B1-01111,,A1-0111,ACS,,,,,,,,,,
C1-10112,,B1-10112,RFID Reader,,Special/Res.,,B1-01112,,A1-0112,ACS,,,,,,,,,,
C2-10201,,B2-10201,RFID Reader,,Special/Res.,,B2-01201,,A2-0201,ACS,,,,,,,,,,
C2-10202,,B2-10202,RFID Reader,,Special/Res.,,B2-01202,,A2-0202,ACS,,,,,,,,,,
C2-10203,,B2-10203,RFID Reader,,Special/Res.,,B2-01203,,A2-0203,ACS,,,,,,,,,,
C2-10204,,B2-10204,RFID Reader,,Special/Res.,,B2-01204,,A2-0204,ACS,,,,,,,,,,
C2-10205,,B2-10205,RFID Reader,,Special/Res.,,B2-01205,,A2-0205,ACS,,,,,,,,,,
C2-10206,,B2-10206,RFID Reader,,Special/Res.,,B2-01206,,A2-0206,ACS,,,,,,,,,,
C2-10207,,B2-10207,RFID Reader,,Special/Res.,,B2-01207,,A2-0207,ACS,,,,,,,,,,
C2-10208,,B2-10208,RFID Reader,,Special/Res.,,B2-01208,,A2-0208,ACS,,,,,,,,,,
C2-10209,,B2-10209,RFID Reader,,Special/Res.,,B2-01209,,A2-0209,ACS,,,,,,,,,,
C2-10210,,B2-10210,RFID Reader,,Special/Res.,,B2-01210,,A2-0210,ACS,,,,,,,,,,
C2-10211,,B2-10211,RFID Reader,,Special/Res.,,B2-01211,,A2-0211,ACS,,,,,,,,,,
C2-10212,,B2-10212,RFID Reader,,Special/Res.,,B2-01212,,A2-0212,ACS,,,,,,,,,,
C3-10301,,B3-10301,RFID Reader,,Special/Res.,,B3-01301,,A3-0301,ACS,,,,,,,,,,
C3-10302,,B3-10302,RFID Reader,,Special/Res.,,B3-01302,,A3-0302,ACS,,,,,,,,,,
C3-10303,,B3-10303,RFID Reader,,Special/Res.,,B3-01303,,A3-0303,ACS,,,,,,,,,,
C3-10304,,B3-10304,RFID Reader,,Special/Res.,,B3-01304,,A3-0304,ACS,,,,,,,,,,
C3-10305,,B3-10305,RFID Reader,,Special/Res.,,B3-01305,,A3-0305,ACS,,,,,,,,,,
C3-10306,,B3-10306,RFID Reader,,Special/Res.,,B3-01306,,A3-0306,ACS,,,,,,,,,,
C3-10307,,B3-10307,RFID Reader,,Special/Res.,,B3-01307,,A3-0307,ACS,,,,,,,,,,
C3-10308,,B3-10308,RFID Reader,,Special/Res.,,B3-01308,,A3-0308,ACS,,,,,,,,,,
C3-10309,,B3-10309,RFID Reader,,Special/Res.,,B3-01309,,A3-0309,ACS,,,,,,,,,,
C3-10310,,B3-10310,RFID Reader,,Special/Res.,,B3-01310,,A3-0310,ACS,,,,,,,,,,
C3-10311,,B3-10311,RFID Reader,,Special/Res.,,B3-01311,,A3-0311,ACS,,,,,,,,,,
C3-10312,,B3-10312,RFID Reader,,Special/Res.,,B3-01312,,A3-0312,ACS,,,,,,,,,,
C4-10401,,B4-10401,RFID Reader,,Special/Res.,,B4-01401,,A4-0401,ACS,,,,,,,,,,
C4-10402,,B4-10402,RFID Reader,,Special/Res.,,B4-01402,,A4-0402,ACS,,,,,,,,,,
C4-10403,,B4-10403,RFID Reader,,Special/Res.,,B4-01403,,A4-0403,ACS,,,,,,,,,,
C4-10404,,B4-10404,RFID Reader,,Special/Res.,,B4-01404,,A4-0404,ACS,,,,,,,,,,
C4-10405,,B4-10405,RFID Reader,,Special/Res.,,B4-01405,,A4-0405,ACS,,,,,,,,,,
C4-10406,,B4-10406,RFID Reader,,Special/Res.,,B4-01406,,A4-0406,ACS,,,,,,,,,,
C4-10407,,B4-10407,RFID Reader,,Special/Res.,,B4-01407,,A4-0407,ACS,,,,,,,,,,
C4-10408,,B4-10408,RFID Reader,,Special/Res.,,B4-01408,,A4-0408,ACS,,,,,,,,,,
C4-10409,,B4-10409,RFID Reader,,Special/Res.,,B4-01409,,A4-0409,ACS,,,,,,,,,,
C4-10410,,B4-10410,RFID Reader,,Special/Res.,,B4-01410,,A4-0410,ACS,,,,,,,,,,
C4-10411,,B4-10411,RFID Reader,,Special/Res.,,B4-01411,,A4-0411,ACS,,,,,,,,,,
C4-10412,,B4-10412,RFID Reader,,Special/Res.,,B4-01412,,A4-0412,ACS,,,,,,,,,,
C5-10501,,B5-10501,RFID Reader,,Special/Res.,,B5-01501,,A5-0501,ACS,,,,,,,,,,
C5-10502,,B5-10502,RFID Reader,,Special/Res.,,B5-01502,,A5-0502,ACS,,,,,,,,,,
C5-10503,,B5-10503,RFID Reader,,Special/Res.,,B5-01503,,A5-0503,ACS,,,,,,,,,,
C5-10504,,B5-10504,RFID Reader,,Special/Res.,,B5-01504,,A5-0504,ACS,,,,,,,,,,
C5-10505,,B5-10505,RFID Reader,,Special/Res.,,B5-01505,,A5-0505,ACS,,,,,,,,,,
C5-10506,,B5-10506,RFID Reader,,Special/Res.,,B5-01506,,A5-0506,ACS,,,,,,,,,,
C5-10507,,B5-10507,RFID Reader,,Special/Res.,,B5-01507,,A5-0507,ACS,,,,,,,,,,
C5-10508,,B5-10508,RFID Reader,,Special/Res.,,B5-01508,,A5-0508,ACS,,,,,,,,,,
C5-10509,,B5-10509,RFID Reader,,Special/Res.,,B5-01509,,A5-0509,ACS,,,,,,,,,,
C5-10510,,B5-10510,RFID Reader,,Special/Res.,,B5-01510,,A5-0510,ACS,,,,,,,,,,
C5-10511,,B5-10511,RFID Reader,,Special/Res.,,B5-01511,,A5-0511,ACS,,,,,,,,,,
C5-10512,,B5-10512,RFID Reader,,Special/Res.,,B5-01512,,A5-0512,ACS,,,,,,,,,,
C1-20101,,B1-20101,RFID Reader,,Special/Res.,,B1-02101,,A1-0101,FDAS,,,,,,,,,,
C1-20102,,B1-20102,RFID Reader,,Special/Res.,,B1-02102,,A1-0102,FDAS,,,,,,,,,,
C1-20103,,B1-20103,RFID Reader,,Special/Res.,,B1-02103,,A1-0103,FDAS,,,,,,,,,,
C1-20104,,B1-20104,RFID Reader,,Special/Res.,,B1-02104,,A1-0104,FDAS,,,,,,,,,,
C1-20105,,B1-20105,RFID Reader,,Special/Res.,,B1-02105,,A1-0105,FDAS,,,,,,,,,,
C1-20106,,B1-20106,RFID Reader,,Special/Res.,,B1-02106,,A1-0106,FDAS,,,,,,,,,,
C1-20107,,B1-20107,RFID Reader,,Special/Res.,,B1-02107,,A1-0107,FDAS,,,,,,,,,,
C1-20108,,B1-20108,RFID Reader,,Special/Res.,,B1-02108,,A1-0108,FDAS,,,,,,,,,,
C1-20109,,B1-20109,RFID Reader,,Special/Res.,,B1-02109,,A1-0109,FDAS,,,,,,,,,,
C1-20110,,B1-20110,RFID Reader,,Special/Res.,,B1-02110,,A1-0110,FDAS,,,,,,,,,,
C1-20111,,B1-20111,RFID Reader,,Special/Res.,,B1-02111,,A1-0111,FDAS,,,,,,,,,,
C1-20112,,B1-20112,RFID Reader,,Special/Res.,,B1-02112,,A1-0112,FDAS,,,,,,,,,,
C2-20201,,B2-20201,RFID Reader,,Special/Res.,,B2-02201,,A2-0201,FDAS,,,,,,,,,,
C2-20202,,B2-20202,RFID Reader,,Special/Res.,,B2-02202,,A2-0202,FDAS,,,,,,,,,,
C2-20203,,B2-20203,RFID Reader,,Special/Res.,,B2-02203,,A2-0203,FDAS,,,,,,,,,,
C2-20204,,B2-20204,RFID Reader,,Special/Res.,,B2-02204,,A2-0204,FDAS,,,,,,,,,,
C2-20205,,B2-20205,RFID Reader,,Special/Res.,,B2-02205,,A2-0205,FDAS,,,,,,,,,,
C2-20206,,B2-20206,RFID Reader,,Special/Res.,,B2-02206,,A2-0206,FDAS,,,,,,,,,,
C2-20207,,B2-20207,RFID Reader,,Special/Res.,,B2-02207,,A2-0207,FDAS,,,,,,,,,,
C2-20208,,B2-20208,RFID Reader,,Special/Res.,,B2-02208,,A2-0208,FDAS,,,,,,,,,,
C2-20209,,B2-20209,RFID Reader,,Special/Res.,,B2-02209,,A2-0209,FDAS,,,,,,,,,,
C2-20210,,B2-20210,RFID Reader,,Special/Res.,,B2-02210,,A2-0210,FDAS,,,,,,,,,,
C2-20211,,B2-20211,RFID Reader,,Special/Res.,,B2-02211,,A2-0211,FDAS,,,,,,,,,,
C2-20212,,B2-20212,RFID Reader,,Special/Res.,,B2-02212,,A2-0212,FDAS,,,,,,,,,,
C3-20301,,B3-20301,RFID Reader,,Special/Res.,,B3-02301,,A3-0301,FDAS,,,,,,,,,,
C3-20302,,B3-20302,RFID Reader,,Special/Res.,,B3-02302,,A3-0302,FDAS,,,,,,,,,,
C3-20303,,B3-20303,RFID Reader,,Special/Res.,,B3-02303,,A3-0303,FDAS,,,,,,,,,,
C3-20304,,B3-20304,RFID Reader,,Special/Res.,,B3-02304,,A3-0304,FDAS,,,,,,,,,,
C3-20305,,B3-20305,RFID Reader,,Special/Res.,,B3-02305,,A3-0305,FDAS,,,,,,,,,,
C3-20306,,B3-20306,RFID Reader,,Special/Res.,,B3-02306,,A3-0306,FDAS,,,,,,,,,,
C3-20307,,B3-20307,RFID Reader,,Special/Res.,,B3-02307,,A3-0307,FDAS,,,,,,,,,,
C3-20308,,B3-20308,RFID Reader,,Special/Res.,,B3-02308,,A3-0308,FDAS,,,,,,,,,,
C3-20309,,B3-20309,RFID Reader,,Special/Res.,,B3-02309,,A3-0309,FDAS,,,,,,,,,,
C3-20310,,B3-20310,RFID Reader,,Special/Res.,,B3-02310,,A3-0310,FDAS,,,,,,,,,,
C3-20311,,B3-20311,RFID Reader,,Special/Res.,,B3-02311,,A3-0311,FDAS,,,,,,,,,,
C3-20312,,B3-20312,RFID Reader,,Special/Res.,,B3-02312,,A3-0312,FDAS,,,,,,,,,,
C4-20401,,B4-20401,RFID Reader,,Special/Res.,,B4-02401,,A4-0401,FDAS,,,,,,,,,,
C4-20402,,B4-20402,RFID Reader,,Special/Res.,,B4-02402,,A4-0402,FDAS,,,,,,,,,,
C4-20403,,B4-20403,RFID Reader,,Special/Res.,,B4-02403,,A4-0403,FDAS,,,,,,,,,,
C4-20404,,B4-20404,RFID Reader,,Special/Res.,,B4-02404,,A4-0404,FDAS,,,,,,,,,,
C4-20405,,B4-20405,RFID Reader,,Special/Res.,,B4-02405,,A4-0405,FDAS,,,,,,,,,,
C4-20406,,B4-20406,RFID Reader,,Special/Res.,,B4-02406,,A4-0406,FDAS,,,,,,,,,,
C4-20407,,B4-20407,RFID Reader,,Special/Res.,,B4-02407,,A4-0407,FDAS,,,,,,,,,,
C4-20408,,B4-20408,RFID Reader,,Special/Res.,,B4-02408,,A4-0408,FDAS,,,,,,,,,,
C4-20409,,B4-20409,RFID Reader,,Special/Res.,,B4-02409,,A4-0409,FDAS,,,,,,,,,,
C4-20410,,B4-20410,RFID Reader,,Special/Res.,,B4-02410,,A4-0410,FDAS,,,,,,,,,,
C4-20411,,B4-20411,RFID Reader,,Special/Res.,,B4-02411,,A4-0411,FDAS,,,,,,,,,,
C4-20412,,B4-20412,RFID Reader,,Special/Res.,,B4-02412,,A4-0412,FDAS,,,,,,,,,,
C5-20501,,B5-20501,RFID Reader,,Special/Res.,,B5-02501,,A5-0501,FDAS,,,,,,,,,,
C5-20502,,B5-20502,RFID Reader,,Special/Res.,,B5-02502,,A5-0502,FDAS,,,,,,,,,,
C5-20503,,B5-20503,RFID Reader,,Special/Res.,,B5-02503,,A5-0503,FDAS,,,,,,,,,,
C5-20504,,B5-20504,RFID Reader,,Special/Res.,,B5-02504,,A5-0504,FDAS,,,,,,,,,,
C5-20505,,B5-20505,RFID Reader,,Special/Res.,,B5-02505,,A5-0505,FDAS,,,,,,,,,,
C5-20506,,B5-20506,RFID Reader,,Special/Res.,,B5-02506,,A5-0506,FDAS,,,,,,,,,,
C5-20507,,B5-20507,RFID Reader,,Special/Res.,,B5-02507,,A5-0507,FDAS,,,,,,,,,,
C5-20508,,B5-20508,RFID Reader,,Special/Res.,,B5-02508,,A5-0508,FDAS,,,,,,,,,,
C5-20509,,B5-20509,RFID Reader,,Special/Res.,,B5-02509,,A5-0509,FDAS,,,,,,,,,,
C5-20510,,B5-20510,RFID Reader,,Special/Res.,,B5-02510,,A5-0510,FDAS,,,,,,,,,,
C5-20511,,B5-20511,RFID Reader,,Special/Res.,,B5-02511,,A5-0511,FDAS,,,,,,,,,,
C5-20512,,B5-20512,RFID Reader,,Special/Res.,,B5-02512,,A5-0512,FDAS,,,,,,,,,,
C1-01101,,B1-01101,RFID Reader,,ACS,,B1-03101,,A1-0101,EMS,,,,,,,,,,
C1-01102,,B1-01102,RFID Reader,,ACS,,B1-03102,,A1-0102,EMS,,,,,,,,,,
C1-01103,,B1-01103,RFID Reader,,ACS,,B1-03103,,A1-0103,EMS,,,,,,,,,,
C1-01104,,B1-01104,RFID Reader,,ACS,,B1-03104,,A1-0104,EMS,,,,,,,,,,
C1-01105,,B1-01105,RFID Reader,,ACS,,B1-03105,,A1-0105,EMS,,,,,,,,,,
C1-01106,,B1-01106,RFID Reader,,ACS,,B1-03106,,A1-0106,EMS,,,,,,,,,,
C1-01107,,B1-01107,RFID Reader,,ACS,,B1-03107,,A1-0107,EMS,,,,,,,,,,
C1-01108,,B1-01108,RFID Reader,,ACS,,B1-03108,,A1-0108,EMS,,,,,,,,,,
C1-01109,,B1-01109,RFID Reader,,ACS,,B1-03109,,A1-0109,EMS,,,,,,,,,,
C1-01110,,B1-01110,RFID Reader,,ACS,,B1-03110,,A1-0110,EMS,,,,,,,,,,
C1-01111,,B1-01111,RFID Reader,,ACS,,B1-03111,,A1-0111,EMS,,,,,,,,,,
C1-01112,,B1-01112,RFID Reader,,ACS,,B1-03112,,A1-0112,EMS,,,,,,,,,,
C2-01201,,B2-01201,RFID Reader,,ACS,,B2-03201,,A2-0201,EMS,,,,,,,,,,
C2-01202,,B2-01202,RFID Reader,,ACS,,B2-03202,,A2-0202,EMS,,,,,,,,,,
C2-01203,,B2-01203,RFID Reader,,ACS,,B2-03203,,A2-0203,EMS,,,,,,,,,,
C2-01204,,B2-01204,RFID Reader,,ACS,,B2-03204,,A2-0204,EMS,,,,,,,,,,
C2-01205,,B2-01205,RFID Reader,,ACS,,B2-03205,,A2-0205,EMS,,,,,,,,,,
C2-01206,,B2-01206,RFID Reader,,ACS,,B2-03206,,A2-0206,EMS,,,,,,,,,,
C2-01207,,B2-01207,RFID Reader,,ACS,,B2-03207,,A2-0207,EMS,,,,,,,,,,
C2-01208,,B2-01208,RFID Reader,,ACS,,B2-03208,,A2-0208,EMS,,,,,,,,,,
C2-01209,,B2-01209,RFID Reader,,ACS,,B2-03209,,A2-0209,EMS,,,,,,,,,,
C2-01210,,B2-01210,RFID Reader,,ACS,,B2-03210,,A2-0210,EMS,,,,,,,,,,
C2-01211,,B2-01211,RFID Reader,,ACS,,B2-03211,,A2-0211,EMS,,,,,,,,,,
C2-01212,,B2-01212,RFID Reader,,ACS,,B2-03212,,A2-0212,EMS,,,,,,,,,,
C3-01301,,B3-01301,RFID Reader,,ACS,,B3-03301,,A3-0301,EMS,,,,,,,,,,
C3-01302,,B3-01302,RFID Reader,,ACS,,B3-03302,,A3-0302,EMS,,,,,,,,,,
C3-01303,,B3-01303,RFID Reader,,ACS,,B3-03303,,A3-0303,EMS,,,,,,,,,,
C3-01304,,B3-01304,RFID Reader,,ACS,,B3-03304,,A3-0304,EMS,,,,,,,,,,
C3-01305,,B3-01305,RFID Reader,,ACS,,B3-03305,,A3-0305,EMS,,,,,,,,,,
C3-01306,,B3-01306,RFID Reader,,ACS,,B3-03306,,A3-0306,EMS,,,,,,,,,,
C3-01307,,B3-01307,RFID Reader,,ACS,,B3-03307,,A3-0307,EMS,,,,,,,,,,
C3-01308,,B3-01308,RFID Reader,,ACS,,B3-03308,,A3-0308,EMS,,,,,,,,,,
C3-01309,,B3-01309,RFID Reader,,ACS,,B3-03309,,A3-0309,EMS,,,,,,,,,,
C3-01310,,B3-01310,RFID Reader,,ACS,,B3-03310,,A3-0310,EMS,,,,,,,,,,
C3-01311,,B3-01311,RFID Reader,,ACS,,B3-03311,,A3-0311,EMS,,,,,,,,,,
C3-01312,,B3-01312,RFID Reader,,ACS,,B3-03312,,A3-0312,EMS,,,,,,,,,,
C4-01401,,B4-01401,RFID Reader,,ACS,,B4-03401,,A4-0401,EMS,,,,,,,,,,
C4-01402,,B4-01402,RFID Reader,,ACS,,B4-03402,,A4-0402,EMS,,,,,,,,,,
C4-01403,,B4-01403,RFID Reader,,ACS,,B4-03403,,A4-0403,EMS,,,,,,,,,,
C4-01404,,B4-01404,RFID Reader,,ACS,,B4-03404,,A4-0404,EMS,,,,,,,,,,
C4-01405,,B4-01405,RFID Reader,,ACS,,B4-03405,,A4-0405,EMS,,,,,,,,,,
